,A,B,C
2023-01-01,0.005967141530112327,-0.0028866445072980346,0.0001122206113411137
2023-01-02,-0.00038264301171184656,0.0015129230703188575,-0.0021132443470714656
2023-01-03,0.007476885381006925,-0.02087122279320185,-0.01624226388440913
2023-01-04,0.016230298564080255,-0.007665740867877739,-0.007138130500736504
2023-01-05,-0.0013415337472333596,0.0021638388456479913,-0.004027665251517451
2023-01-06,-0.0013413695694918055,-0.01676490366133454,0.014185466714626989
2023-01-07,0.016792128155073915,0.006135470275185078,0.005623419474821537
2023-01-08,0.008674347291529088,-0.008509580348782074,-0.019656481864352808
2023-01-09,-0.0036947438593495216,-0.0038754062468991514,0.005389007632737541
2023-01-10,0.006425600435859647,-0.008525599183440953,-0.0031209873649957983
2023-01-11,-0.0036341769281246225,0.028284172767634067,-0.0066230640036715055
2023-01-12,-0.0036572975357025686,0.0002975416289309912,0.008840115466090415
2023-01-13,0.003419622715660341,-0.015365663934338504,0.01387199426995141
2023-01-14,-0.01813280244657798,0.012838173681547835,0.012675361429394382
2023-01-15,-0.01624917832513033,-0.017812654749565334,-0.008570610278671663
2023-01-16,-0.004622875292409727,0.003632953925071331,-0.002210548510214575
2023-01-17,-0.009128311203344237,-0.028895051858196633,0.005475161176842767
2023-01-18,0.0041424733259527394,-0.019422790733476455,0.01320654152546831
2023-01-19,-0.00808024075521211,0.0034529185380368526,-0.00425009085414348
2023-01-20,-0.013123037013352917,0.011576998699931156,-0.0007279077199658056
2023-01-21,0.015656487689215542,0.0030705242178495572,-0.011776019688072339
